"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Dem. Rep.","COD","Land under cereal production (hectares)","AG.LND.CREL.HA","","719700","701700","660300","662700","693909","766207","797745","920806","908800","916343","926372","939813","961069","988829","1015151","1037000","1055000","1057500","1087400","1113100","1144000","1176800","1212300","1244200","1427330","1510170","1528440","1670030","1764270","1863672","1818200","1920940","2033426","2092101","1931426","1993683","1910655","1999289","2023140","1998412","1965544","1969559","1971819","1972721","1973988","1975199","1976380","1977476","1978828","3301607","3445330","3426939","3702549","4028084","4058927","4192618","4356643","4349994","4280340","4238642","4416748","4954942","","",
"Congo, Rep.","COG","Land under cereal production (hectares)","AG.LND.CREL.HA","","7000","7100","9600","9650","9800","11000","11000","11500","10500","9000","10500","13084","18000","26099","31883","32180","31900","29500","29000","13855","13700","13100","16600","21200","20900","25885","25890","25946","25979","9633","9800","10078","13400","13616","15149","15652","15990","16987","12951","12956","23257","24878","28420","28339","28666","27900","27906","29750","30200","31585","31811","32784","33843","32099","33139","34173","34720","34349","35086","34100","33917","33971","","",
"Colombia","COL","Land under cereal production (hectares)","AG.LND.CREL.HA","","1158170","1196700","1119160","1256100","1439697","1390770","1249700","1276875","1143960","1044713","1115010","1106940","1115860","1194450","1194250","1277850","1187825","1429165","1373100","1335650","1375115","1482110","1344190","1262760","1180900","1229269","1320800","1413400","1611400","1742800","1610900","1440654","1405706","1448674","1299245","1183840","1103336","945227","1081111","1119006","1130832","1084064","1183108","1238344","1124974","1097255","1115039","1179990","1157133","1036817","1133358","1152710","1178961","985140","925503","1050175","1052333","995345","974683","1013607","1064416","1052640","","",
"Comoros","COM","Land under cereal production (hectares)","AG.LND.CREL.HA","","10200","10100","11350","11700","13700","15000","14100","12200","12300","12300","12300","12500","12700","13100","13300","14000","14600","15500","17000","17200","17300","17200","16000","15000","15200","15200","14236","14257","14477","14724","6527","6314","6188","6074","5972","5843","5757","5856","5509","5429","5315","5168","5074","5875","4809","4654","4556","5656","5864","6002","6511","6993","7454","7892","8262","8638","9022","9463","9795","10181","10580","10953","","",
"Cabo Verde","CPV","Land under cereal production (hectares)","AG.LND.CREL.HA","","20000","20000","20000","20000","35000","39000","45000","25000","16000","3000","3000","3000","3000","7000","9000","11000","4000","3000","14000","16000","7000","10000","7000","5115","3300","22716","34882","34256","35480","34124","32655","33975","33105","32612","31066","32127","33347","34518","31358","30626","30674","34122","32053","25963","15000","29263","27873","34385","31983","32028","31318","30582","31727","31036","31386","31698","31699","31698","27581","27581","27581","19340","","",
"Costa Rica","CRI","Land under cereal production (hectares)","AG.LND.CREL.HA","","103000","112000","108450","127400","110480","122700","127900","125400","113800","113000","94500","94800","133961","127847","149387","158912","143006","136437","142185","118847","147655","146757","155087","156147","163884","151845","132725","125081","93701","92604","80415","76335","61089","62892","55589","76455","74354","69798","79540","78573","64642","54669","62522","68596","61608","55138","56303","61411","74792","89566","87009","63990","72653","52159","53193","53124","42769","46959","42030","45183","45151","30892","","",
"Caribbean small states","CSS","Land under cereal production (hectares)","AG.LND.CREL.HA","","143340","134627","116502","189206","163706","177874","161855","161826","157816","165348","158671","136032","154934","179187","202704","167321","207290","188486","165644","177180","177470","187027","165016","189834","172742","175762","166912","165293","162365","122664","156769","171578","184870","184060","221279","223509","225104","204258","220861","181679","196107","172943","206633","192670","181225","170083","177236","191749","216255","219403","230264","224989","257765","277598","281810","245507","264241","251466","270503","278704","248098","246516","","",
"Cuba","CUB","Land under cereal production (hectares)","AG.LND.CREL.HA","","275000","294072","263000","178969","145000","140000","146367","173900","222300","303300","274100","297657","331460","295086","261503","240040","228760","228733","224478","225354","222400","228700","227100","238600","237200","248600","231295","229477","245421","230425","222271","252411","191958","272237","254958","357452","373420","329930","289690","326773","312470","320561","337417","304417","285839","267397","277892","285011","419902","402165","351512","358162","380298","361651","267044","316736","275444","282416","248413","204385","194001","151055","","",
"Curacao","CUW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Land under cereal production (hectares)","AG.LND.CREL.HA","","141673","137794","138730","140469","143975","143145","141941","143145","138060","152107","156857","153111","160536","162141","57058","62435","61773","50088","46743","49097","49151","51560","51345","52710","53486","52108","54047","58998","59701","57530","48790","65110","69100","63500","60870","58940","43020","59090","58940","51480","55970","59200","72745","66397","58218","54795","39806","35973","31155","32892","35916","37822","30760","25303","32846","23289","19879","24020","23070","26510","26150","24580","","",
"Czechia","CZE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1613589","1661548","1583945","1588882","1693643","1683785","1596798","1655815","1631003","1569116","1466926","1617273","1619151","1539462","1582788","1561492","1544454","1465570","1482187","1457126","1415798","1412209","1392345","1361498","1357136","1338780","1352540","1344870","1345840","1386000","","",
"Germany","DEU","Land under cereal production (hectares)","AG.LND.CREL.HA","","7138919","7145685","7168885","7285822","7229500","7207233","7286316","7431223","7499085","7470600","7571500","7633527","7662538","7743113","7805553","7816354","7800601","7878846","7723359","7737979","7614540","7583943","7582053","7512692","7403403","7327154","7157693","7138343","7087608","6944862","6559828","6514452","6223589","6235406","6526733","6707371","7014075","7041633","6634681","7015690","7045736","6940982","6839431","6946946","6839000","6702200","6571690","7038419","6908443","6587482","6490900","6517900","6526000","6460700","6517500","6316300","6266500","6141600","6372600","6065200","6053000","6101400","","",
"Djibouti","DJI","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","2","2","2","3","4","6","6","7","3","6","6","6","6","6","6","6","6","6","6","6","7","6","6","6","6","6","6","7","7","8","8","8","8","8","9","8","8","8","9","9","9","9","","",
"Dominica","DMA","Land under cereal production (hectares)","AG.LND.CREL.HA","","110","110","115","115","120","120","125","125","130","130","135","135","140","140","150","150","150","150","155","160","165","170","180","170","150","150","130","120","120","110","119","121","120","130","126","128","129","124","128","129","128","129","135","132","140","142","145","132","128","120","100","120","120","119","118","118","118","118","117","116","116","115","","",
"Denmark","DNK","Land under cereal production (hectares)","AG.LND.CREL.HA","","1536555","1541998","1569717","1567605","1596967","1604664","1637727","1685196","1704169","1738944","1756753","1776923","1761836","1732993","1719594","1787311","1821271","1845072","1850217","1816317","1787302","1767772","1697885","1674107","1600599","1578349","1498961","1586765","1561598","1570303","1561552","1611927","1444000","1410350","1454400","1523000","1535200","1530166","1496784","1514258","1538062","1527934","1484586","1490600","1508600","1493900","1448300","1513200","1499300","1508400","1496500","1503300","1443760","1450871","1459400","1471275","1449769","1416280","1373650","1366920","1359580","1306950","","",
